"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0500000US53001","Adams County, Washington","20690","*****",
"0500000US53003","Asotin County, Washington","22424","*****",
"0500000US53005","Benton County, Washington","210224","*****",
"0500000US53007","Chelan County, Washington","79518","*****",
"0500000US53009","Clallam County, Washington","77593","*****",
"0500000US53011","Clark County, Washington","510516","*****",
"0500000US53013","Columbia County, Washington","3996","*****",
"0500000US53015","Cowlitz County, Washington","111539","*****",
"0500000US53017","Douglas County, Washington","43733","*****",
"0500000US53019","Ferry County, Washington","7326","*****",
"0500000US53021","Franklin County, Washington","97676","*****",
"0500000US53023","Garfield County, Washington","2326","*****",
"0500000US53025","Grant County, Washington","100428","*****",
"0500000US53027","Grays Harbor County, Washington","76397","*****",
"0500000US53029","Island County, Washington","86747","*****",
"0500000US53031","Jefferson County, Washington","33313","*****",
"0500000US53033","King County, Washington","2262713","*****",
"0500000US53035","Kitsap County, Washington","276581","*****",
"0500000US53037","Kittitas County, Washington","44736","*****",
"0500000US53039","Klickitat County, Washington","23082","*****",
"0500000US53041","Lewis County, Washington","83925","*****",
"0500000US53043","Lincoln County, Washington","11271","*****",
"0500000US53045","Mason County, Washington","66968","*****",
"0500000US53047","Okanogan County, Washington","42811","*****",
"0500000US53049","Pacific County, Washington","23750","*****",
"0500000US53051","Pend Oreille County, Washington","13811","*****",
"0500000US53053","Pierce County, Washington","924106","*****",
"0500000US53055","San Juan County, Washington","18266","*****",
"0500000US53057","Skagit County, Washington","130407","*****",
"0500000US53059","Skamania County, Washington","12276","*****",
"0500000US53061","Snohomish County, Washington","834648","*****",
"0500000US53063","Spokane County, Washington","544323","*****",
"0500000US53065","Stevens County, Washington","47470","*****",
"0500000US53067","Thurston County, Washington","296640","*****",
"0500000US53069","Wahkiakum County, Washington","4573","*****",
"0500000US53071","Walla Walla County, Washington","62102","*****",
"0500000US53073","Whatcom County, Washington","228432","*****",
"0500000US53075","Whitman County, Washington","47042","*****",
"0500000US53077","Yakima County, Washington","256605","*****",
